time,intensity,distance
9.797,645,30.33
9.815,646,30.01
9.832,645,29.95
9.850,646,29.95
9.868,645,30.41
9.885,645,30.53
9.903,645,30.48
9.921,645,30.53
9.938,645,30.11
9.956,644,30.26
9.973,644,30.19
9.992,643,30.19
10.009,643,29.80
10.028,643,29.92
10.047,644,29.82
10.065,643,29.80
10.084,643,30.33
10.102,642,29.82
10.122,643,29.87
10.140,643,29.87
10.159,642,29.99
10.177,643,30.33
10.196,642,29.92
10.215,642,30.07
10.233,642,30.43
10.253,642,30.46
10.271,641,31.33
10.290,641,31.04
10.308,641,30.53
10.328,641,30.16
10.346,641,30.33
10.364,640,30.28
10.384,639,30.33
10.402,640,31.20
10.421,639,30.91
10.439,638,30.87
10.459,638,30.94
10.477,637,30.99
10.496,637,30.62
10.515,638,31.04
10.533,637,31.09
10.552,637,31.71
10.570,636,31.65
10.590,635,31.33
10.608,634,31.40
10.627,633,31.48
10.646,633,31.99
10.664,632,32.50
10.683,632,32.25
10.701,632,32.67
10.721,631,31.86
10.739,631,31.89
10.758,630,31.94
10.776,630,31.99
10.796,630,32.06
10.814,630,32.57
10.832,629,32.90
10.852,631,32.47
10.870,629,32.50
10.889,629,32.52
10.907,629,33.39
10.927,629,32.57
10.945,629,32.67
10.963,629,32.57
10.983,630,32.62
11.001,630,32.61
11.020,629,32.25
11.038,628,32.27
11.058,628,32.32
11.076,627,32.37
11.095,628,32.45
11.114,628,32.52
11.132,627,32.57
11.151,626,32.32
11.169,628,33.08
11.189,625,32.32
11.207,625,32.37
11.226,625,32.83
11.245,625,32.52
11.264,624,32.98
11.282,623,32.73
11.300,623,32.67
11.320,623,32.32
11.338,622,32.37
11.357,622,32.40
11.375,623,33.29
11.395,622,32.88
11.413,622,33.80
11.431,621,32.96
11.451,621,33.39
11.469,621,33.85
11.488,621,33.42
11.506,622,33.44
11.526,621,33.07
11.544,621,33.24
11.563,619,33.64
11.582,619,33.29
11.600,619,33.78
11.619,617,33.49
11.637,617,33.59
11.657,616,34.09
11.675,616,33.73
11.694,616,33.85
11.713,616,34.34
11.731,614,33.18
11.750,614,33.68
11.768,613,35.04
11.788,614,34.24
11.806,612,33.88
11.825,613,33.90
11.844,612,33.54
11.863,612,34.41
11.881,612,33.58
11.899,612,33.58
11.919,613,33.59
11.937,612,33.98
11.956,612,33.59
11.974,613,34.02
11.994,613,33.64
12.012,611,34.03
12.030,611,34.49
12.050,611,35.43
12.068,610,35.53
12.087,610,34.31
12.105,609,33.98
12.125,609,34.43
12.143,609,34.51
12.162,608,34.99
12.181,608,35.02
12.199,608,35.07
12.218,607,35.92
12.236,608,35.94
12.256,608,35.96
12.274,608,35.84
12.293,607,35.50
12.312,609,35.53
12.331,607,34.71
12.349,609,34.71
12.367,607,35.12
12.387,607,34.36
12.405,606,34.41
12.424,606,34.87
12.443,606,35.33
12.462,606,34.97
12.480,607,35.46
12.498,605,36.38
12.518,604,35.63
12.536,604,35.28
12.555,604,35.73
12.573,604,36.19
12.593,604,37.08
12.611,603,36.31
12.630,603,36.41
12.649,602,35.21
12.667,602,35.24
12.686,602,36.14
12.704,601,35.79
12.724,602,37.16
12.742,600,35.60
12.761,600,36.52
12.780,600,35.73
12.798,599,36.58
12.817,599,36.72
12.835,598,36.38
12.855,597,35.63
12.873,597,35.99
12.892,596,37.01
12.911,598,37.08
12.930,596,37.15
12.948,597,36.81
12.966,596,37.25
12.986,596,36.84
13.004,596,36.70
13.023,596,36.84
13.042,596,36.43
13.061,596,36.41
13.079,596,36.43
13.097,597,36.45
13.117,596,36.86
13.135,596,35.94
13.154,595,36.09
13.172,594,36.14
13.192,594,37.06
13.210,593,37.57
13.229,594,37.21
13.248,593,36.50
13.266,592,36.84
13.285,592,37.45
13.303,592,38.78
13.323,591,38.83
13.341,591,37.26
13.360,591,36.91
13.379,590,37.83
13.398,590,37.76
13.416,590,38.37
13.434,589,38.86
13.454,590,37.67
13.472,588,38.05
13.491,589,37.32
13.510,588,37.32
13.529,590,38.08
13.547,589,37.83
13.565,588,39.61
13.585,587,38.49
13.603,588,37.60
13.622,587,38.64
13.641,586,38.69
13.660,587,39.10
13.678,586,39.71
13.697,586,38.49
13.716,584,38.13
13.734,585,38.08
13.753,586,39.10
13.771,585,39.15
13.791,584,39.15
13.809,582,38.88
13.828,583,38.54
13.847,582,39.00
13.865,582,38.49
13.884,581,39.10
13.902,581,39.59
13.922,582,39.53
13.940,582,40.07
13.959,581,40.10
13.978,581,39.73
13.997,581,39.20
14.015,581,38.95
14.033,580,38.61
14.053,580,39.03
14.071,579,39.41
14.090,581,39.98
14.109,579,40.09
14.128,579,40.09
14.146,578,39.83
14.164,578,39.90
14.184,579,40.29
14.202,578,39.93
14.221,578,40.49
14.240,577,39.76
14.259,576,39.68
14.277,576,39.47
14.296,576,39.92
14.315,576,39.97
14.333,577,40.32
14.352,575,40.48
14.370,576,40.94
14.390,575,40.87
14.408,575,40.17
14.427,575,39.81
14.446,574,39.83
14.465,574,39.78
14.483,574,40.75
14.501,574,41.21
14.521,574,40.73
14.539,574,40.90
14.558,574,40.94
14.577,573,40.58
14.596,572,40.95
14.614,572,40.27
14.632,572,41.14
14.652,571,40.70
14.670,572,41.19
14.689,572,40.99
14.708,572,41.04
14.727,570,40.99
14.745,570,41.14
14.764,570,41.62
14.783,571,41.17
14.801,570,41.24
14.820,571,41.40
14.839,570,41.04
14.858,569,40.97
14.876,570,41.12
14.895,569,42.04
14.914,568,41.55
14.932,569,41.63
14.951,569,41.80
14.969,568,41.89
14.989,567,41.43
15.007,567,42.06
15.026,566,42.16
15.045,566,41.75
15.064,566,41.82
15.082,565,42.47
15.100,565,42.57
15.120,565,42.18
15.138,564,42.81
15.157,565,42.93
15.176,563,42.91
15.195,562,42.57
15.213,563,42.74
15.232,563,43.23
15.251,562,43.18
15.269,563,43.23
15.288,562,43.37
15.307,562,43.25
15.326,561,43.03
15.344,561,43.23
15.363,560,43.23
15.382,560,43.13
15.400,561,43.40
15.419,562,43.28
15.438,561,43.50
15.457,562,43.49
15.475,560,43.61
15.494,562,44.10
15.513,561,43.57
15.532,559,44.01
15.550,561,43.71
15.568,560,43.61
15.588,559,44.06
15.606,559,43.76
15.625,559,43.40
15.644,561,43.32
15.663,560,43.33
15.681,560,43.45
15.699,560,43.44
15.719,560,43.38
15.737,560,43.52
15.756,559,44.42
15.775,559,43.96
15.794,559,44.01
15.812,558,44.17
15.831,558,43.78
15.850,559,43.71
15.868,558,44.17
15.887,558,43.91
15.906,557,44.29
15.925,558,44.39
15.943,557,44.56
15.962,557,44.22
15.981,556,44.13
16.000,556,44.23
16.018,556,44.83
16.037,557,45.24
16.056,556,45.29
16.074,555,45.03
16.093,556,45.10
16.112,554,44.63
16.131,555,45.08
16.149,554,45.24
16.167,555,45.19
16.187,553,45.70
16.205,555,45.39
16.224,554,45.03
16.243,554,44.93
16.262,554,44.93
16.280,554,45.49
16.299,554,45.02
16.318,553,45.92
16.336,554,45.66
16.355,554,45.76
16.374,553,45.70
16.393,552,45.36
16.411,553,45.51
16.430,552,45.90
16.449,551,46.00
16.467,551,46.04
16.486,552,45.82
16.505,551,45.75
16.524,552,45.80
16.542,551,45.93
16.561,550,45.85
16.580,550,45.90
16.599,550,46.77
16.617,550,46.89
16.636,550,46.36
16.655,550,46.82
16.673,550,46.92
16.692,550,46.41
16.711,550,46.92
16.730,550,46.51
16.748,549,46.26
16.766,549,46.21
16.786,549,46.27
16.804,548,46.41
16.823,549,47.19
16.842,548,46.78
16.861,548,46.89
16.879,549,47.02
16.898,549,46.55
16.917,549,46.63
16.935,547,46.72
16.954,548,46.63
16.973,548,47.02
16.992,547,46.67
17.010,547,46.82
17.029,547,47.60
17.048,547,47.70
17.067,547,47.35
17.085,547,46.99
17.104,546,46.61
17.123,546,46.68
17.141,546,47.24
17.160,545,48.01
17.179,546,48.06
17.198,545,47.65
17.216,545,47.70
17.235,545,47.70
17.254,545,47.35
17.272,545,47.45
17.291,545,47.80
17.310,544,47.38
17.329,546,47.38
17.347,545,47.53
17.366,544,47.38
17.385,545,47.01
17.403,546,47.12
17.422,545,47.04
17.441,545,47.02
17.460,544,47.04
17.478,545,47.14
17.497,544,47.41
17.516,545,47.82
17.534,546,47.14
17.553,545,47.41
17.572,544,47.41
17.591,544,47.02
17.609,545,47.52
17.628,545,47.41
17.647,545,47.41
17.666,545,47.43
17.684,546,47.04
17.703,544,47.02
17.722,544,47.04
17.740,546,47.53
17.759,545,47.06
17.778,545,47.04
17.797,546,47.04
17.815,544,47.14
17.835,544,47.43
17.853,544,47.41
17.871,544,47.16
17.890,545,47.04
17.909,545,47.04
17.928,544,47.04
17.946,544,47.16
17.965,545,47.06
17.984,546,47.06
18.002,545,47.55
18.021,544,47.07
18.040,544,47.06
18.059,545,47.45
18.077,545,47.57
18.096,545,47.45
18.115,544,47.86
18.134,544,47.57
18.152,545,47.92
18.171,545,47.92
18.190,544,47.92
18.208,544,47.19
18.227,544,47.92
18.246,543,47.45
18.265,543,47.92
18.283,544,47.09
18.302,544,47.92
18.321,543,47.92
18.339,543,48.03
18.358,543,47.46
18.377,543,47.06
18.396,544,47.06
18.414,544,47.43
18.434,543,47.48
18.452,542,47.48
18.470,543,47.14
18.489,542,47.06
18.508,542,47.06
18.527,543,47.41
18.545,541,47.14
18.564,542,47.04
18.583,542,47.04
18.601,541,47.57
18.620,542,47.04
18.639,542,47.04
18.658,541,47.06
18.676,542,47.16
18.695,542,47.06
18.714,542,47.06
18.733,542,47.53
18.751,543,47.04
18.770,541,47.46
18.789,542,47.43
18.807,541,47.16
18.826,541,47.04
18.845,541,47.46
18.864,541,47.04
18.882,543,47.46
18.902,541,47.46
18.920,542,47.04
18.938,542,47.14
18.957,543,47.04
18.976,542,47.46
18.995,542,47.04
19.013,541,47.14
19.033,542,47.02
19.051,542,47.04
19.069,541,47.14
19.088,542,47.04
19.107,541,47.04
19.126,542,47.45
19.144,542,47.16
19.163,541,47.91
19.182,541,47.50
19.201,542,48.50
19.219,542,48.01
19.238,541,48.50
19.257,541,48.11
19.275,542,48.26
19.294,541,48.16
19.313,541,47.79
19.332,542,48.31
19.350,542,47.80
19.369,540,47.43
19.388,541,47.50
19.406,540,48.06
19.425,540,48.45
19.444,540,49.33
19.463,540,48.52
19.481,540,48.52
19.501,540,48.91
19.519,539,48.55
19.537,540,48.30
19.556,540,48.21
19.575,540,47.82
19.594,540,48.26
19.612,539,47.94
19.632,538,49.27
19.650,538,48.96
19.668,538,48.71
19.687,538,48.60
19.706,539,48.62
19.725,538,48.25
19.743,539,48.26
19.762,539,47.89
19.781,538,48.72
19.800,537,48.42
19.818,537,48.31
19.837,538,48.76
19.856,538,48.77
19.874,538,48.79
19.893,538,48.77
19.912,538,49.23
19.931,539,50.61
19.949,539,50.17
19.969,537,49.03
19.987,537,49.06
20.005,537,48.76
20.024,536,48.26
20.043,537,48.65
20.062,536,48.65
20.080,537,48.65
20.100,538,48.67
20.118,536,48.62
20.136,537,48.76
20.155,537,48.62
20.174,537,49.03
20.193,536,48.65
20.211,537,48.65
20.231,537,48.25
20.249,536,48.62
20.268,536,48.72
20.286,537,49.08
20.305,538,48.64
20.324,537,48.64
20.342,537,48.64
20.361,536,48.64
20.380,537,49.03
20.399,536,48.72
20.417,538,48.65
20.436,537,48.26
20.455,538,48.64
20.473,537,48.37
20.492,537,48.64
20.511,537,48.65
20.530,537,48.37
20.548,537,48.64
20.568,537,48.65
20.586,537,48.25
20.604,538,48.37
20.623,537,48.26
20.642,538,48.25
20.661,537,48.26
20.679,537,48.65
20.699,537,49.01
20.717,537,49.01
