time,potValue,range
129153,1023,247
129353,1023,247
129554,1023,247
129755,1023,247
129956,1023,247
130157,1023,247
130358,1023,247
130558,1023,247
130760,1023,247
130961,1023,247
131162,1023,247
131362,1023,247
131563,1023,247
131765,1023,247
131965,1023,247
132166,1023,247
132367,1023,247
132568,1023,247
132769,1023,247
132970,1023,247
133171,1023,247
133371,1023,247
133573,1023,247
133774,1023,247
133975,1023,247
134175,1023,247
134376,1023,247
134578,1023,247
134778,1023,247
134979,1023,247
135180,1023,247
135382,1023,247
135582,1023,247
135783,1023,248
135984,1023,247
136184,1023,248
136386,1023,248
136587,1023,248
136787,1023,248
136988,1023,247
137189,1023,248
137391,1023,247
137591,1023,248
137792,1023,248
137993,1023,248
138194,1023,248
138395,1023,248
138596,1023,248
138797,1023,248
138997,1023,248
139199,1023,248
139400,1023,248
139600,1023,248
139801,1023,248
140003,1023,248
140204,1023,248
140404,1023,248
140605,1023,248
140806,1023,248
141007,1023,247
141208,1023,247
141409,1023,247
141609,1023,247
141810,1023,247
142012,1023,247
142213,1023,247
142413,1023,247
142614,1023,247
142816,1023,247
143016,1023,247
143217,1023,247
143418,1023,247
143619,1023,247
143820,1023,247
144021,1023,247
144222,1023,247
144422,1023,247
144624,1023,247
144825,1023,247
145026,1023,247
145226,1023,247
145427,1023,247
145629,1023,247
145829,1023,247
146030,1023,247
146231,1023,247
146432,1023,247
146633,1023,247
146834,1023,247
147035,1023,247
147235,1023,247
147437,1023,247
147638,1023,247
147838,1023,247
148039,1023,247
148240,1023,247
148442,1023,247
148642,1023,247
148843,1023,247
149044,1023,247
149244,1023,247
149446,1023,247
149647,1023,247
149848,1023,247
150048,1023,247
150250,1023,247
150451,1023,247
150651,1023,247
150852,1023,247
151053,1023,247
151255,1023,247
151455,1023,247
151656,1023,247
151857,1023,247
152058,1023,247
152259,1023,247
152460,1023,247
152660,1023,247
152861,1023,247
153063,1023,247
153264,1023,247
153464,1023,247
153665,1023,247
153866,1023,247
154067,1023,247
154268,1023,247
154469,1023,247
154670,1023,247
154871,1023,247
155072,1023,247
155273,1023,247
155473,1023,247
155674,1023,248
155876,1023,248
156077,1023,248
156277,1023,248
156478,1023,248
156680,1023,248
156880,1023,248
157081,1023,248
157282,1023,248
157483,1023,248
157684,1023,247
157885,1023,248
158086,1023,248
158286,1023,248
158487,1023,248
158689,1023,248
158889,1023,248
159090,1023,248
159291,1023,248
159493,1023,248
159693,1023,248
159894,1023,248
160095,1023,248
160295,1023,248
160497,1023,248
160698,1023,248
160899,1023,248
161099,1023,248
161301,1023,248
161502,1023,248
161702,1023,248
161903,1023,248
162104,1023,248
162306,1023,248
162506,1023,248
162707,1023,248
162908,1023,248
163108,1023,248
163310,1023,248
163511,1023,248
163712,1023,248
163912,1023,248
164114,1023,248
164315,1023,248
164515,1023,248
164716,1023,248
164917,1023,248
165118,1023,248
165319,1023,248
165520,1023,248
165721,1023,248
165922,1023,248
166123,1023,248
166324,1023,248
166524,1023,248
166725,1023,248
166927,1023,248
167128,1023,248
167328,1023,248
167529,1023,248
167730,1023,248
167931,1023,248
168132,1023,248
168333,1023,248
168534,1023,248
168735,1023,248
168936,1023,248
169137,1023,248
169337,1023,248
169538,1023,248
169740,1023,248
169940,1023,248
170141,1023,248
170342,1023,248
170543,1023,248
170744,1023,248
170945,1023,248
171146,1023,248
171346,1023,248
171548,1023,248
171749,1023,247
171950,1023,247
172150,1023,248
172351,1023,248
172553,1023,247
172753,1023,248
172954,1023,248
173155,1023,248
173357,1023,248
173557,1023,248
173758,1023,248
173959,1023,248
174159,1023,248
174361,1023,248
174562,1023,248
174763,1023,248
174963,1023,248
175164,1023,248
175366,1023,248
175566,1023,248
175767,1023,248
175968,1023,248
176169,1023,248
176370,1023,248
176571,1009,248
176772,852,248
176972,382,248
177174,70,249
177375,0,247
177575,0,248
177776,0,248
177977,0,247
178178,0,247
178378,0,247
178579,0,247
178780,0,247
178980,0,247
179181,0,246
179383,0,247
179584,0,246
179784,0,246
179985,0,246
180186,0,246
180386,0,246
180587,0,246
180788,0,245
180988,0,246
181189,0,245
181390,0,245
181591,0,245
181792,0,245
181993,0,244
182194,0,244
182394,0,244
182595,0,244
182796,0,243
182996,0,243
183197,0,243
183398,0,243
183599,0,242
183799,0,242
184001,0,242
184202,0,242
184402,0,242
184603,0,242
184804,0,241
185005,0,241
185205,0,241
185406,0,241
185607,0,241
185807,0,240
186008,0,240
186209,0,240
186411,0,240
186611,0,240
186812,0,240
187013,0,240
187213,0,240
187414,0,239
187615,0,239
187815,0,239
188016,0,239
188217,0,239
188418,0,239
188618,0,238
188820,0,238
189021,0,238
189221,0,238
189422,0,238
189623,0,238
189824,0,238
190024,0,238
190225,0,237
190426,0,237
190626,0,237
190827,0,237
191029,0,237
191229,0,237
191430,0,237
191631,0,237
191832,0,237
192032,0,236
192233,0,236
192434,0,236
192634,0,236
192835,0,236
193036,0,236
193236,0,236
193438,0,235
193639,0,236
193840,0,235
194040,0,235
194241,0,235
194442,0,235
194642,0,235
194843,0,235
195044,0,235
195245,0,235
195445,0,235
195647,0,234
195848,0,234
196048,0,234
196249,0,234
196450,0,234
196651,0,234
196851,0,234
197052,0,234
197253,0,234
197453,0,234
197654,0,233
197855,0,233
198056,0,233
198257,0,233
198458,0,233
198659,0,233
198859,0,233
199060,0,233
199261,0,233
199461,0,233
199662,0,233
199863,0,233
200064,0,233
200264,0,233
200466,0,232
200667,0,233
200867,0,232
201068,0,232
201269,0,232
201469,0,232
201670,0,232
201871,0,232
202072,0,232
202272,0,232
202473,0,232
202675,0,232
202875,0,232
203076,0,232
203277,0,232
203478,0,232
203678,0,232
203879,0,232
204080,0,231
204280,0,232
204481,0,231
204682,0,232
204882,0,232
205084,0,231
205285,0,231
205486,0,232
205686,0,231
205887,0,231
206088,0,231
206288,0,231
206489,0,231
206690,0,231
206891,0,231
207091,0,231
207292,0,231
207494,0,231
207694,0,231
207895,0,231
208096,0,231
208296,0,231
208497,0,231
208698,0,231
208899,0,231
209099,0,231
209300,0,231
209501,0,231
209702,0,231
209903,0,231
210104,0,231
210305,0,231
210505,0,231
210706,0,231
210907,0,231
211107,0,231
211308,0,231
211509,0,231
211709,0,231
211910,0,231
212112,0,231
212313,0,231
212513,0,230
212714,0,231
212915,0,231
213115,0,230
213316,0,230
213517,0,231
213718,0,230
213918,0,230
214119,0,230
214320,0,230
214521,0,231
214722,0,230
214923,0,230
215123,0,230
