time,range
9766936,315
9780452,616
9793976,779
9807496,580
9821020,215
9834536,252
9848052,494
9861572,823
9875092,660
9888616,362
9902132,202
9915656,395
9929180,768
9942696,726
9956212,482
9969736,161
9983256,315
9996776,616
10010296,780
10024852,661
10039412,482
10053980,215
10068536,202
10083096,315
10097656,494
10112220,768
10126776,780
10141336,661
10155896,482
10170460,215
10185012,202
10199572,316
10214136,494
10228700,768
10243252,780
10257816,660
10272376,482
10286940,215
10301492,202
10316056,315
10330612,494
10345180,768
10359736,780
10374296,661
10388852,481
10403420,216
10417976,202
10432532,316
10447096,494
10461660,768
10476216,780
10490776,660
10505336,482
10519900,215
10534456,202
10549016,316
10563576,494
10578140,768
10592696,780
10607256,660
10621816,482
10636380,216
10650936,202
10665496,315
10680056,494
10694620,768
10709176,780
10723736,660
10738296,482
10752860,216
10767416,202
10781976,316
10796536,494
10811100,768
10825652,780
10840216,660
10854776,482
10869340,216
10883896,202
10898456,316
10913016,494
10927580,768
10942132,780
10956692,661
10971256,482
10985820,215
11000376,202
11014936,316
11029492,494
11044060,768
11058616,780
11073176,661
11087736,482
11102300,216
11116852,202
11131416,316
11145976,494
11160540,768
11175096,780
11189652,660
11204212,482
11218780,215
11233332,202
11247896,316
11262456,494
11277020,768
11291576,780
11306136,661
11320696,481
11335260,216
11349816,202
11364372,316
11378936,494
11393500,768
11408056,780
11422612,661
11437176,482
11451740,215
11466296,202
11480852,316
11495416,495
11509980,768
11524532,780
11539096,661
11553652,482
11568220,216
11582776,202
11597336,316
11611896,495
11626460,768
11641016,780
11655576,661
11670136,482
11684700,216
11699252,202
11713816,316
11728372,494
11742940,768
11757492,780
11772056,661
11786612,482
11801180,216
11815736,202
11830292,316
11844852,495
11859420,768
11873976,780
11888536,661
11903096,482
11917660,215
11932212,202
11946772,316
11961332,495
11975900,768
11990456,780
12005012,661
12019576,482
12034140,216
12048696,202
12063252,316
12077816,495
12092380,768
12106932,780
12121496,661
12136056,482
12150620,216
12165176,202
12179736,316
12194296,494
12208860,768
12223416,780
12237972,661
12252536,482
12267100,216
12281656,202
12296216,316
12310776,494
12325340,768
12339896,780
12354456,661
12369012,482
12383580,215
12398136,202
12412696,316
12427256,495
12441820,768
12456372,780
12470936,661
12485496,482
12500060,216
12514616,202
12529176,316
12543736,494
12558300,768
12572856,780
12587416,660
12601976,482
12616540,216
12631096,202
12645652,316
12660216,494
12674780,768
12689336,780
12703896,661
12718456,482
12733020,216
12747572,202
12762136,316
12776696,495
12791260,768
12805816,780
12820372,661
12834932,482
12849500,215
12864056,202
12878612,316
12893176,495
12907740,768
12922296,780
12936856,661
12951416,482
12965980,216
12980536,202
12995092,316
13009656,494
13024220,768
13038776,779
13053336,660
13067896,482
13082460,216
13097016,202
13111576,316
13126136,494
13140700,768
13155256,780
13169816,661
13184376,482
13198940,216
13213496,202
13228052,316
13242616,494
13257180,768
13271736,780
13286292,661
13300852,482
