time,range
1128628,842
1129628,841
1130629,843
1131629,840
1132630,841
1133631,843
1134631,841
1135632,841
1136632,840
1137633,842
1138633,840
1139634,840
1140635,843
1141636,840
1142636,840
1143636,841
1144637,841
1145637,841
1146638,840
1147639,840
1148640,841
1149640,841
1150641,841
1151641,841
1152642,840
1153643,840
1154643,840
1155644,840
1156644,842
1157645,840
1158645,840
1159646,840
1160647,841
1161648,840
1162648,842
1163649,840
1164649,840
1165649,841
1166651,840
1167651,841
1168652,841
1169652,840
1170653,840
1171653,841
1172654,840
1173655,840
1174656,841
1175656,840
1176656,840
1177657,841
1178657,840
1179658,840
1180659,840
1181660,839
1182660,842
1183661,840
1184661,841
1185661,840
1186663,841
1187663,840
1188664,840
1189664,842
1190665,840
1191665,841
1192666,843
1193667,841
1194668,840
1195668,842
1196668,841
1197669,840
1198669,841
1199671,841
1200671,840
1201672,840
1202672,842
1203673,841
1204673,840
1205673,841
1206675,842
1207675,842
1208676,841
1209676,841
1210677,841
1211677,840
1212678,841
1213679,841
1214680,841
1215680,842
1216680,842
1217681,844
1218681,842
1219683,842
1220683,842
1221684,841
1222684,842
1223685,842
1224685,842
1225686,841
1226687,841
1227687,842
1228688,841
1229688,840
1230689,842
1231689,842
1232691,841
1233691,844
1234692,841
1235692,841
1236692,842
1237693,841
1238693,843
1239695,842
1240695,843
1241696,841
1242696,843
1243697,840
1244697,841
1245699,841
1246699,841
1247699,841
1248700,840
1249700,841
1250701,841
1251701,842
1252703,841
1253703,840
1254704,841
1255704,841
1256705,841
1257705,841
1258705,843
1259707,840
1260707,841
1261708,840
1262708,840
1263709,840
1264709,840
1265711,841
1266711,842
1267712,842
1268712,841
1269712,840
1270713,840
1271713,840
1272715,841
1273715,841
1274716,843
1275716,841
1276717,841
1277717,841
1278718,841
1279719,842
1280719,842
1281720,842
1282720,841
1283721,843
1284721,841
1285723,841
1286723,842
1287724,842
1288724,841
1289724,844
1290725,842
1291725,841
1292727,842
1293727,844
1294728,841
1295728,841
1296729,842
1297729,842
1298731,841
1299731,841
1300731,842
1301732,841
1302732,841
1303733,841
1304733,842
1305735,842
1306735,842
1307736,841
1308736,842
1309736,841
1310737,841
1311738,842
1312739,842
1313739,841
1314740,841
1315740,841
1316741,841
1317741,841
1318743,844
1319743,844
1320743,842
1321744,842
1322744,845
1323745,843
1324745,842
1325747,842
1326747,843
1327748,842
1328748,842
1329748,842
1330749,843
1331750,844
1332751,844
1333751,843
1334752,841
1335752,842
1336753,841
1337753,842
1338755,843
1339755,842
1340755,844
1341756,843
1342756,842
1343757,842
1344758,842
1345759,842
1346759,841
1347760,843
1348760,842
1349761,843
1350761,842
1351762,843
1352763,844
1353763,842
1354764,842
1355764,843
1356765,842
1357765,842
1358767,844
1359767,841
1360768,843
1361768,842
1362768,843
1363769,842
1364770,842
1365771,842
1366771,842
1367772,842
1368772,842
1369773,844
1370773,841
1371774,842
1372775,842
1373775,843
1374776,843
1375776,845
1376777,843
1377777,845
1378779,843
1379779,843
1380780,842
1381780,843
1382780,845
1383781,842
1384782,844
1385783,842
1386783,843
1387784,843
1388784,845
1389785,844
1390785,842
1391787,843
1392787,842
1393787,842
1394788,845
1395788,843
1396789,844
1397790,843
1398791,842
1399791,845
1400792,843
1401792,843
1402792,842
1403793,843
1404794,842
1405795,844
1406795,843
1407796,842
1408796,842
1409797,843
1410797,843
1411799,845
1412799,842
1413799,843
1414800,843
1415800,843
1416801,844
1417802,845
1418803,843
1419803,842
1420804,843
1421804,842
1422804,844
1423805,846
1424806,843
1425807,843
1426807,843
1427808,844
1428808,843
1429809,843
1430810,844
1431811,843
1432811,843
1433811,843
1434812,843
1435812,843
1436813,843
1437814,843
1438815,846
1439815,844
1440816,844
1441816,843
1442817,843
1443817,842
1444818,843
1445819,845
1446819,844
1447820,843
1448820,843
1449821,845
1450822,842
1451823,842
1452823,843
1453824,842
1454824,842
1455824,843
1456825,842
1457826,844
1458827,843
1459827,844
1460828,844
1461828,844
1462829,843
1463829,844
1464830,844
1465831,844
1466831,843
1467832,843
1468832,844
1469833,843
1470834,843
1471835,845
1472835,844
1473836,843
1474836,843
1475836,844
1476837,844
1477838,844
1478839,844
1479839,843
1480840,842
1481840,845
1482841,842
1483842,844
1484843,842
1485843,845
1486843,842
1487844,842
1488844,843
1489845,843
1490846,843
1491847,843
1492847,844
1493848,842
1494848,844
1495848,844
1496850,843
1497850,843
1498851,843
1499851,843
1500852,845
1501852,842
1502853,843
1503854,843
1504855,843
1505855,842
1506855,845
1507856,843
1508856,843
1509857,842
1510858,843
1511859,843
1512859,845
1513860,844
1514860,844
1515860,843
1516862,842
1517862,844
1518863,844
1519863,842
1520864,844
1521864,843
1522865,844
1523866,842
1524867,844
1525867,843
1526867,843
1527868,843
1528868,843
1529870,843
1530870,843
1531871,843
1532871,843
1533872,846
1534872,845
1535873,845
1536874,844
1537874,843
1538875,843
1539875,843
1540876,841
1541876,842
1542878,842
